"id","text","cycle4_3e","cycle4_4e","cycle4_5e","cycle3_6e"
"id10","Ses mains que je n'avais pas vues sont dures et gercées  J'ai une pitié immense pour les coutures de son ventre  J'humilie maintenant à une pauvre fille au rire horrible ma bouche  Tu es seul le matin va venir Les laitiers font tinter leurs bidons dans les rues  La nuit s'éloigne ainsi qu'une belle Métive C'est Ferdine la fausse ou Léa l'attentive  Et tu bois cet alcool brûlant comme ta vie Ta vie que tu bois comme une eau-de-vie  Tu marches vers Auteuil tu veux aller chez toi à pied Dormir parmi tes fétiches d'Océanie et de Guinée Ils sont des Christ d'une autre forme et d'une autre croyance Ce sont les Christ inférieurs des obscures espérances Adieu Adieu Soleil cou coupé   LE PONT MIRABEAU  Sous le pont Mirabeau coule la Seine Et nos amours Faut-il qu'il m'en souvienne",1,0,0,0
"id11","Les mains dans les mains restons face à face Tandis que sous Le pont de nos bras passe Des éternels regards l'onde si lasse  Vienne la nuit sonne l'heure Les jours s'en vont je demeure  L'amour s'en va comme cette eau courante L'amour s'en va Comme la vie est lente Et comme l'Espérance est violente Vienne la nuit sonne l'heure Les jours s'en vont je demeure  Passent les jours et passent les semaines Ni temps passé   Ni les amours reviennent Sous le pont Mirabeau coule la Seine   LA CHANSON DU MAL -AIMÉ  A Paul Léautaud Et je chantais cette romance En 1903 sans savoir Que mon amour à la semblance Du beau Phénix s'il meurt un soir Le matin voit sa renaissance. Un soir de demi-brume à Londres Un voyou qui ressemblait à Mon amour vint à ma rencontre",1,0,0,0
"id12","Un soir de demi-brume à Londres Un voyou qui ressemblait à Mon amour vint à ma rencontre Et le regard qu'il me jeta Me fit baisser les yeux de honte  Je suivis ce mauvais garçon Qui sifflotait mains dans les poches Nous semblions entre les maisons Onde ouverte de la Mer Rouge Lui les Hébreux moi Pharaon  Oue tombent ces vagues de briques Si tu ne fus pas bien aimée Je suis le souverain d'Égypte Sa sœur-épouse son armée Si tu n'es pas l'amour unique    Au tournant d'une rue brûlant De tous les feux de ses façades Plaies du brouillard sanguinolent Où se lamentaient les façades Une femme lui ressemblant  C'était son regard d'inhumaine La cicatrice à son cou nu Sortit saoule d'une taverne Au moment où je reconnus La fausseté de l'amour même  Lorsqu'il fut de retour enfin",1,0,0,0
"id13","Son vieux chien de lui se souvint Près d'un tapis de haute lisse Sa femme attendait qu'il revînt  L'époux royal de Sacontale Las de vaincre se réjouit Quand il la retrouva plus pâle D'attente et d'amour yeux pâlis Caressant sa gazelle mâle  J'ai pensé à ces rois heureux Lorsque le faux amour et celle Dont je suis encore amoureux Heurtant leurs ombres infidèles Me rendirent si malheureux    Regrets sur quoi l'enfer se fonde Qu'un ciel d'oubli s'ouvre à mes vœux Pour son baiser les rois du monde Seraient morts les pauvres fameux Pour elle eussent vendu leur ombre  J'ai hiverné dans mon passé Revienne le soleil de Pâques Pour chauffer un cœur plus glacé Que les quarante de Sébaste Moins que ma vie martyrisés  Mon beau navire ô ma mémoire Avons-nous assez navigué Dans une onde mauvaise à boire",1,0,0,0
"id14","Adieu faux amour confondu Avec la femme qui s'éloigne Avec celle que j'ai perdue L'année dernière en Allemagne Et que je ne reverrai plus  Voie lactée ô sœur lumineuse Des blancs ruisseaux de Chanaan Et des corps blancs des amoureuses Nageurs morts suivrons -nous d'ahan Ton cours vers d'autres nébuleuses    Je me souviens d'une autre année C'était l'aube d'un jour d'avril J'ai chanté ma joie bien-aimée Chanté l'amour à voix virile Au moment d'amour de l'année   Aubade chantée à Laetare l'an passé  C'est le printemps viens-t'en Pâquette Te promener au bois joli Les poules dans la cour caquètent L'aube au ciel fait de roses plis L'amour chemine à ta conquête  Mars et Vénus sont revenus Ils s'embrassent à bouches folles Devant des sites ingénus Où sous les roses qui feuillolent De beaux dieux roses dansent nus",1,0,0,0
"id15","De beaux dieux roses dansent nus  Viens ma tendresse est la régente De la floraison qui paraît La nature est belle et touchante Pan sifflote dans la forêt Les grenouilles humides chantent   Beaucoup de ces dieux...  Beaucoup de ces dieux ont péri C'est sur eux que pleurent les saules Le grand Pan l'amour Jésus-Christ Sont bien morts et les chats miaulent Dans la cour je pleure à Paris  Moi qui sais des lais pour les reines Les complaintes de mes années Des hymnes d'esclave aux murènes La romance du mal aimé Et des chansons pour les sirènes L'amour est mort j'en suis tremblant J'adore de belles idoles Les souvenirs lui ressemblant Comme la femme de Mausole Je reste fidèle et dolent  Je suis fidèle comme un dogue Au maître le lierre au tronc Et les Cosaques Zaporogues",1,0,0,0
"id16","Portez comme un joug le Croissant Qu'interrogent les astrologues   Je suis le Sultan tout-puissant O mes Cosaques Zaporogues Votre Seigneur éblouissant  Devenez mes sujets fidèles Leur avait écrit le Sultan Ils rirent à cette nouvelle Et répondirent à l'instant A la lueur d'une chandelle   Réponse des Cosaques Zaporogues au Sultan de Constantinople  Plus criminel que Barrabas Cornu comme les mauvais anges Quel Belzébuth es-tu là-bas Nourri d'immondice et de fange Nous n'irons pas à tes sabbats  Poisson pourri de Salonique Long collier des sommeils affreux D'yeux arrachés à coup de pique Ta mère fit un pet foireux Et tu naquis de sa colique  Bourreau de Podolie Amant Des plaies des ulcères des croûtes Groin de cochon cul de jument Tes richesses garde-les toutes Pour payer tes médicaments   Voie lactée {1} Voie lactée ô sœur lumineuse",1,0,0,0
"id17","Pour payer tes médicaments   Voie lactée {1}  Voie lactée ô sœur lumineuse Des blancs ruisseaux de Chanaan Et des corps blancs des amoureuses Nageurs morts suivrons nous d'ahan Ton cours vers d'autres nébuleuses  Regret des yeux de la putain Et belle comme une panthère Amour vos baisers florentins Avaient une saveur amère Qui a rebuté nos destins  Ses regards laissaient une traîne D'étoiles dans les soirs tremblants Dans ses yeux nageaient les sirènes Et nos baisers mordus sanglants Faisaient pleurer nos fées marraines  Mais en vérité je l'attends Avec mon cœur avec mon âme Et sur le pont des Reviens-t'en Si jamais reviens cette femme Je lui dirai Je suis content  Mon cœur et ma tête se vident Tout le ciel s'écoule par eux   O mes tonneaux des Danaïdes Comment faire pour être heureux",1,0,0,0
"id18","Comment faire pour être heureux Comme un petit enfant candide  Je ne veux jamais l'oublier Ma colombe ma blanche rade O marguerite exfoliée Mon île au loin ma Désirade Ma rose mon giroflier  Les satyres et les pyraustes Les égypans les feux follets Et les destins damnés ou faustes La corde au cou comme à Calais Sur ma douleur quel holocauste  Douleur qui doubles les destins La licorne et le capricorne Mon âme et mon corps incertains Te fuient ô bûcher divin qu'ornent Des astres des fleurs du matin Malheur dieu pâle aux yeux d'ivoire Tes prêtres fous t'ont-ils paré Tes victimes en robe noire Ont -elles vainement pleuré Malheur dieu qu'il ne faut pas croire  Et toi qui me suis en rampant Dieu de mes dieux morts en automne   Tu mesures combien d'empans J'ai droit que la terre me donne",1,0,0,0
"id19","Au soleil parce que tu l'aimes Je t'ai menée souviens-t'en bien Ténébreuse épouse que j'aime Tu es à moi en n'étant rien O mon ombre en deuil de moi -même  L'hiver est mort tout enneigé On a brûlé les ruches blanches Dans les jardins et les vergers Les oiseaux chantent sur les branches Le printemps clair l'Avril léger  Mort d'immortels argyraspides La neige aux boucliers d'argent Fuit les dendrophores livides Du printemps cher aux pauvres gens Qui resourient les yeux humides  Et moi j'ai le cœur aussi gros Qu'un cul de dame damascène O mon amour je t'aimais trop Et maintenant j'ai trop de peine Les sept épées hors du fourreau  Sept épées de mélancolie Sans morfil ô claires douleurs   Sont dans mon cœur et la folie Veut raisonner pour mon malheur Comment voulez-vous que j'oublie",1,0,0,0
"id20","La première est toute d'argent Et son nom tremblant c'est Pâline Sa lame un ciel d'hiver neigeant Son destin sanglant gibeline Vulcain mourut en la forgeant  La seconde nommée Noubosse Est un bel arc-en-ciel joyeux Les dieux s'en servent à leurs noces Elle a tué trente Bé -Rieux Et fut douée par Carabosse  La troisième bleu féminin N'en est pas moins un chibriape Appelé Lul de Faltenin Et que porte sur une nappe L'Hermès Ernest devenu nain  La quatrième Malourène Est un fleuve vert et doré C'est le soir quand les riveraines Y baignent leurs corps adorés Et des chants de rameurs s'y trainent  La cinquième Sainte-Fabeau C'est la plus belle des quenouilles C'est un cyprès sur un tombeau Où les quatre vents s'agenouillent Et chaque nuit c'est un flambeau  La Sixième métal de gloire C'est l'ami aux si douces mains",1,0,0,0
"id21","Dont chaque matin nous sépare Adieu voilà votre chemin Les coqs s'épuisaient en fanfares  Et la septième s'exténue Une femme une rose morte Merci que le dernier venu Sur mon amour ferme la porte Je ne vous ai jamais connue   Voie lactée {2} Voie lactée ô sœur lumineuse Des blancs ruisseaux de Chanaan Et des corps blancs des amoureuses Nageurs morts suivrons -nous d'ahan Ton cours vers d'autres nébuleuses  Les démons du hasard selon Le chant du firmament nous mènent A sons perdus leurs violons Font danser notre race humaine Sur la descente à reculons  Destins destins impénétrables Rois secoués par la folie Et ces grelottantes étoiles De fausses femmes dans vos lits Aux déserts que l'histoire accable  Luitpold le vieux prince régent Tuteur de deux royautés folles Sanglote -t-il en y songeant Quand vacillent les lucioles Mouches dorées de la Saint-Jean",1,0,0,0
"id22","Mouches dorées de la Saint -Jean  Près d'un château sans châtelaine La barque aux barcarols chantants   Sur un lac blanc et sous l'haleine Des vents qui tremblent au printemps Voguait cygne mourant sirène Un jour le roi dans l'eau d'argent Se noya puis la bouche ouverte Il s'en revint en surnageant Sur la rive dormir inerte Face tournée au ciel changeant  Juin ton soleil ardente lyre Brûle mes doigts endoloris Triste et mélodieux délire J'erre à travers mon beau Paris Sans avoir le cœur d'y mourir  Les dimanches s'y éternisent Et les orgues de Barbarie Y sanglotent dans les cours grises Les fleurs aux balcons de Paris Penchent comme la tour de Pise  Soirs de Paris ivres du gin Flambant de l'électricité Les tramways feux verts sur l'échine Musiquent au long des portées De rails leur folie de machines",1,0,0,0
"id23","Crient tout l'amour de leurs tziganes   De tous leurs siphons enrhumés De leurs garçons vêtus d'un pagne Vers toi toi que j'ai tant aimée  Moi qui sais des lais pour les reines Les complaintes de mes années Des hymnes d'esclave aux murènes La romance du mal aimé Et des chansons pour les sirènes   LES COLCHIQUES  Le pré est vénéneux mais joli en automne Les vaches y paissant Lentement s'empoisonnent Le colchique couleur de cerne et de lilas Y fleurit tes yeux sont comme cette fleur-la Violatres comme leur cerne et comme cet automne Et ma vie pour tes yeux lentement s'empoisonne  Les enfants de l'école viennent avec fracas Vêtus de hoquetons et jouant de l'harmonica Ils cueillent les colchiques qui sont comme des mères Filles de leurs filles et sont couleur de tes paupières",1,0,0,0
"id24","A Max Jacob  Vers le palais de Rosemonde au fond du Rêve Mes rêveuses pensées pieds nus vont en soirée Le palais don du roi comme un roi nu s'élève Des chairs fouettées des roses de la roseraie  On voit venir au fond du jardin mes pensées Qui sourient du concert joué par les grenouilles Elles ont envie des cyprès grandes quenouilles Et le soleil miroir des roses s'est brisé  Le stigmate sanglant des mains contre les vitres Quel archet mal blessé du couchant le troua La résine qui rend amer le vin de Chypre Ma bouche aux agapes d'agneau blanc l'éprouva  Sur les genoux pointus du monarque adultère Sur le mai de son âge et sur son trente et un Madame Rosemonde roule avec mystère Ses petits yeux tout ronds pareils aux yeux des Huns  Dame de mes pensées au cul de perle fine",1,0,0,0
"id25","La veilleuse dans l'ombre est un bijou d'or cuit Pendez vos têtes aux patères par les tresses Le ciel presque nocturne a des lueurs d'aiguilles  On entra dans la salle à manger les narines Reniflaient une odeur de graisse et de graillon On eut vingt potages dont trois couleurs d'urine Et le roi prit deux œufs pochés dans du bouillon Puis les marmitons apportèrent les viandes Des rôtis de pensées mortes dans mon cerveau Mes beaux rêves mort-nés en tranches bien saignantes Et mes souvenirs faisandés en godiveaux  Or ces pensées mortes depuis des millénaires Avaient le fade goût des grands mammouths gelés Les os ou songe -creux venaient des ossuaires En danse macabre aux plis de mon cervelet  Et tous ces mets criaient des choses nonpareilles Mais nom de Dieu! Ventre affamé n'a pas d'oreilles Et les convives mastiquaient à qui mieux mieux",1,0,0,0
"id26","A Mademoiselle Marie Laurencin  Frôlée par les ombres des morts Sur l'herbe où le jour s'exténue L'arlequine s'est mise nue Et dans l'étang mire son corps Un charlatan crépusculaire Vante les tours que l'on va faire Le ciel sans teinte est constellé D'astres pâles comme du lait  Sur les tréteaux l'arlequin blême Salue d'abord les spectateurs Des sorciers venus de Bohême Quelques fées et les enchanteurs  Ayant décroché une étoile Il la manie à bras tendu Tandis que des pieds un pendu Sonne en mesure les cymbales  L'aveugle berce un bel enfant La biche passe avec ses faons Le nain regarde d'un air triste Grandir l'arlequin trismégiste   ANNIE  Sur la côte du Texas Entre Mobile et Galveston il y a Un grand jardin tout plein de roses Il contient aussi une villa Qui est une grande rose",1,0,0,0
"id27","Un grand jardin tout plein de roses Il contient aussi une villa Qui est une grande rose  Une femme se promène souvent Dans le jardin toute seule Et quand je passe sur la route bordée de tilleuls Nous nous regardons  Comme cette femme est mennonite Ses rosiers et ses vêtements n'ont pas de boutons Il en manque deux à mon veston La dame et moi suivons presque le même rite   LA MAISON DES MORTS  A Maurice Raynal  S'étendant sur les côtés du cimetière La maison des morts l'encadrait comme un cloître A l'intérieur de ses vitrines Pareilles à celles des boutiques de modes Au lieu de sourire debout Les mannequins grimaçaient pour l'éternité  Arrivé à Munich depuis quinze ou vingt jours J'étais entré pour la première fois et par hasard Dans ce cimetière presque désert Et je claquais des dents",1,0,0,0
"id28","Rapide comme ma mémoire Les yeux ses rallumèrent De cellule vitrée en cellule vitrée Le ciel se peupla d'une apocalypse Vivace  Et la terra plate à l'infini Comme avant Galilée Se couvrit de mille mythologies immobiles   Un ange en diamant brisa toutes les vitrines Et les morts m'accostèrent Avec des mines de l'autre monde  Mais leur visage et leurs attitudes Devinrent bientôt moins funèbres Le ciel et la terre perdirent Leur aspect fantasmagorique Les morts se réjouissaient De voir leurs corps trépassés entre eux et la lumière Ils riaient de voir leur ombre et l'observaient Comme si véritablement C'eût été leur vie passée  Alors je les dénombrai Ils étaient quarante-neuf hommes Femmes et enfants Qui embellissaient à vue d'œil Et me regardaient maintenant Avec tant de cordialité Tant de tendresse même Que les prenant en amitié  Tout à coup",1,0,0,0
"id29","Tout à coup Je les invitai à une promenade Loin des arcades de leur maison Et tous bras dessus bras dessous Fredonnant des airs militaires Oui tous vos péchés sont absous Nous quittâmes le cimetière    Nous traversâmes la ville Et rencontrions souvent Des parents des amis qui se joignaient A la petite troupe des morts récents Tous étaient si gais Si charmants si bien portants Que bien malin qui aurait pu Distinguer les morts des vivants  Puis dans la campagne On s'éparpilla Deux chevau-légers nous joignirent On leur fit fête Ils coupèrent du bois de viorne Et de sureau Dont ils firent des sifflets Qu'ils distribuèrent aux enfants  Plus tard dans un bal champêtre Les couples mains sur les épaules Dansèrent au son aigre des cithares  Ils n'avaient pas oublié la danse Ces morts et ces mortes",1,0,0,0
"id30","Et de temps à autre une cloche Annonçait qu'un autre tonneau Allait être mis en perce Une morte assise sur un banc Près d'un buisson d'épine -vinette   Laissait un étudiant Agenouillé à ses pieds Lui parler de fiançailles  Je vous attendrai Dix ans vingt ans s'il le faut Votre volonté sera la mienne  Je vous attendrai Toute votre vie Répondait la morte Des enfants De ce monde ou bien de l'autre Chantaient de ces rondes Aux paroles absurdes et lyriques Qui sans doute sont les restes Des plus anciens monuments poétiques De l'humanité  L'étudiant passa une bague A l'annulaire de la jeune morte Voici le gage de mon amour De nos fiançailles Ni le temps ni l'absence Ne nous feront oublier nos promesses  Et un jour nous auront une belle noce Des touffes de myrte A nos vêtements et dans vos cheveux",1,0,0,0
"id31","Des touffes de myrte A nos vêtements et dans vos cheveux Un beau sermon à l'église   De longs discours après le banquet Et de la musique De la musique  Nos enfants Dit la fiancée Seront plus beaux plus beaux encore Hélas! la bague était brisée Que s'ils étaient d'argent ou d'or D'émeraude ou de diamant Seront plus clairs plus clairs encore Que les astres du firmament Que la lumière de l'aurore Que vos regards mon fiancé Auront meilleure odeur encore Hélas! la bague était brisée Que le lilas qui vient d'éclore Que le thym la rose ou qu'un brin De lavande ou de romarin  Les musiciens s'en étant allés Nous continuâmes la promenade  Au bord d'un lac On s'amusa à faire des ricochets Avec des cailloux plats Sur l'eau qui dansait à peine  Des barques étaient amarrées",1,0,0,0
"id32","On les détacha   Après que toute la troupe se fut embarquée Et quelques morts ramaient Avec autant de vigueur que les vivants  A l'avant du bateau que je gouvernais Un mort parlait avec une jeune femme Vêtue d'une robe jaune D'un corsage noir Avec des rubans bleus et d'un chapeau gris Orné d'une seule petite plume défrisée  Je vous aime Disait -il Comme le pigeon aime la colombe Comme l'insecte nocturne Aime la lumière Trop tard Répondait la vivante Repoussez repoussez cet amour défendu Je suis mariée Voyez l'anneau qui brille Mes mains tremblent Je pleure et je voudrais mourir Les barques étaient arrivées A un endroit où les chevau-légers Savaient qu'un écho répondait de la rive On ne se lassait point de l'interroger Il y eut des questions si extravagantes Et des réponses tellement pleines d'à-propos",1,0,0,0
"id33","Et le mort disait à la vivante  Nous serions si heureux ensemble Sur nous l'eau se refermera Mais vous pleurez et vos mains tremblent Aucun de nous ne reviendra  On reprit terre et ce fut le retour Les amoureux s'entr'aimaient Et par couples aux belles bouches Marchaient à distances inégales Les morts avaient choisi les vivantes Et les vivants Des mortes Un genévrier parfois Faisait l'effet d'un fantôme Les enfants déchiraient l'air En soufflant les joues creuses Dans leurs sifflets de viorne Ou de sureau Tandis que les militaires Chantaient des tyroliennes En se répondant comme on le fait Dans la montagne  Dans la ville Notre troupe diminua peu à peu On se disait Au revoir   A demain A bientôt Bientôt entraient dans les brasseries Quelques-uns nous quittèrent Devant une boucherie canine Pour y acheter leur repas du soir",1,0,0,0
"id34","A bientôt Bientôt entraient dans les brasseries Quelques-uns nous quittèrent Devant une boucherie canine Pour y acheter leur repas du soir  Bientôt je restai seul avec ces morts Qui s'en allaient tout droit Au cimetière Où Sous les Arcades Je les reconnus Couchés Immobiles Et bien vêtus Attendant la sépulture derrière les vitrines  Ils ne se doutaient pas De ce qui s'était passé Mais les vivants en gardaient le souvenir C'était un bonheur inespéré Et si certain Qu'ils ne craignaient point de le perdre  Ils vivaient si noblement Que ceux qui la veille encore Les regardaient comme leurs égaux Ou même quelque chose de moins Admiraient maintenant Leur puissance leur richesse et leur génie   Car y a-t-il rien qui vous élève Comme d'avoir aimé un mort ou une morte On devient si pur qu'on en arrive Dans les glaciers de la mémoire",1,0,0,0
"id35","On devient si pur qu'on en arrive Dans les glaciers de la mémoire A se confondre avec le souvenir On est fortifié pour la vie Et l'on n'a plus besoin de personne   CLOTILDE  L'anémone et l'ancolie Ont poussé dans le jardin Où dort la mélancolie Entre l'amour et le dédain  Il y vient aussi nos ombres Que la nuit dissipera Le soleil qui les rend sombres Avec elles disparaîtra  Les déités des eaux vives Laissent couler leurs cheveux Passe il faut que tu poursuives Cette belle ombre que tu veux   CORTÈGE  A M. Léon Bailby  Oiseau tranquille au vol inverse oiseau Qui nidifie en l'air A la limite où notre sol brille déjà Baisse ta deuxième paupière la terre t'éblouit Quand tu lèves la tête  Et moi aussi de près je suis sombre et terne",1,0,0,0
